Voucher	Lineage	Fresh_water	Country	Basin	Latitude 	Norte-Sur	Longitude 	Este-Oeste	COI	Reference
AA369	EUR1	Danube	Hungary	Black	46.7605	N	17.2553	E	KC583482	"Froufe et al., 2014"
AA370	EUR1	Danube	Hungary	Black	46.7605	N	17.2553	E	KC583483	"Froufe et al., 2014"
AA371	EUR1	Danube	Hungary	Black	46.7605	N	17.2553	E	KC583484	"Froufe et al., 2014"
AA372	EUR1	Danube	Hungary	Black	46.7605	N	17.2553	E	KC583485	"Froufe et al., 2014"
AA375	EUR1	Danube	Hungary	Black	46.7605	N	17.2553	E	KC583486	"Froufe et al., 2014"
AA70	EUR1	Danube	Hungary	Black	47.6852	N	19.1279	E	KC583489	"Froufe et al., 2014"
AA71	EUR1	Danube	Hungary	Black	47.6852	N	19.1279	E	KC583490	"Froufe et al., 2014"
AA72	EUR1	Danube	Hungary	Black	47.6852	N	19.1279	E	KC583491	"Froufe et al., 2014"
AA73	EUR1	Elbe	Czech	North	50.2283	N	14.6138	E	KC583492	"Froufe et al., 2014"
AA74	EUR2	Elbe	Czech	North	50.2283	N	14.6138	E	KC583493	"Froufe et al., 2014"
AA75	EUR2	Elbe	Czech	North	50.2283	N	14.6138	E	KC583494	"Froufe et al., 2014"
AA76	EUR1	Elbe	Czech	North	50.2283	N	14.6138	E	KC583495	"Froufe et al., 2014"
AA83	IBER	Vouga	Portugal	Atlantic	NA	NA	NA	NA	KC583496	"Froufe et al., 2014"
AA87	IBER	Vouga	Portugal	Atlantic	NA	NA	NA	NA	KC583497	"Froufe et al., 2014"
AC77	EUR1	Elbe	Czech	North	50.2283	N	14.6138	E	KC583498	"Froufe et al., 2014"
AC79	EUR2	Elbe	Czech	North	50.2283	N	14.6138	E	KC583499	"Froufe et al., 2014"
ACGOM1	EUR1	Danube	Hungary	Black	47.6852	N	19.1279	E	KC583500	"Froufe et al., 2014"
ACGOM2	EUR1	Danube	Hungary	Black	47.6852	N	19.1279	E	KC583501	"Froufe et al., 2014"
ACGOM3	EUR1	Danube	Hungary	Black	47.6852	N	19.1279	E	KC583502	"Froufe et al., 2014"
Ai1	IBER	Mondego	Portugal	Atlantic	NA	NA	NA	NA	KC583503	"Froufe et al., 2014"
Ai12	IBER	Mondego	Portugal	Atlantic	NA	NA	NA	NA	KC583504	"Froufe et al., 2014"
Ai13	IBER	Mondego	Portugal	Atlantic	NA	NA	NA	NA	KC583505	"Froufe et al., 2014"
Ai15	IBER	Mondego	Portugal	Atlantic	NA	NA	NA	NA	KC583506	"Froufe et al., 2014"
Ai20	IBER	Mondego	Portugal	Atlantic	NA	NA	NA	NA	KC583507	"Froufe et al., 2014"
Ai21	IBER	Mondego	Portugal	Atlantic	NA	NA	NA	NA	KC583508	"Froufe et al., 2014"
V1	IBER	Mondego	Portugal	Atlantic	NA	NA	NA	NA	KC583511	"Froufe et al., 2014"
AA387	ITAL	Po 	Italy	Adriatic	45.9803	N	8.6443	E	KC583512	"Froufe et al., 2014"
AA389	ITAL	Po 	Italy	Adriatic	45.9803	N	8.6443	E	KC583514	"Froufe et al., 2014"
AA390	ITAL	Po 	Italy	Adriatic	45.9803	N	8.6443	E	KC583515	"Froufe et al., 2014"
AA391	ITAL	Po 	Italy	Adriatic	45.9803	N	8.6443	E	KC583516	"Froufe et al., 2014"
AA392	ITAL	Po 	Italy	Adriatic	45.9803	N	8.6443	E	KC583517	"Froufe et al., 2014"
AA393	ITAL	Po 	Italy	Adriatic	45.9803	N	8.6443	E	KC583518	"Froufe et al., 2014"
AA394	ITAL	Po 	Italy	Adriatic	45.9803	N	8.6443	E	KC583519	"Froufe et al., 2014"
AA263	ITAL	Ebro	Spain	WesterMed	41.8534	N	1.2316	W	KJ402053	"Froufe et al., 2014"
AA294	IBER	Guadalquivir	Spain	Atlantic	NA	NA	NA	NA	KJ402054	"Froufe et al., 2014"
MNCNN500	IBER	Guadiana	Spain	Atlantic	NA	NA	NA	NA	KP217914	"Araujo et al., 2017"
MNCNN1122	IBER	Mira	Portugal	Atlantic	NA	NA	NA	NA	KX399859	"Araujo et al., 2018"
biv156/1	EUR2	Indiga	Russia	Arctic	67.5012	N	49.3144	E	KY328448	"Bolotov et al., 2020"
biv156/2	EUR2	Indiga	Russia	Arctic	67.5012	N	49.3144	E	KY328449	"Bolotov et al., 2020"
biv156/3	EUR2	Indiga	Russia	Arctic	67.5012	N	49.3144	E	KY328450	"Bolotov et al., 2020"
biv156/4	EUR2	Indiga	Russia	Arctic	67.5012	N	49.3144	E	KY328451	"Tomilova et al., 2020a"
biv156/5	EUR2	Indiga	Russia	Arctic	67.5012	N	49.3144	E	KY328452	"Tomilova et al., 2020a"
biv157/1	EUR2	Volga	Russia	Caspian	45.3865	N	47.3427	E	KY328453	"Bolotov et al., 2020"
biv157/2	EUR2	Volga	Russia	Caspian	45.3865	N	47.3427	E	KY328454	"Bolotov et al., 2020"
biv158/1	EUR2	Yenisey	Russia	Arctic	55.955	N	110.7073	E	KY328455	"Bolotov et al., 2020"
biv158/2	EUR2	Yenisey	Russia	Arctic	55.955	N	110.7073	E	KY328456	"Bolotov et al., 2020"
biv158/3	EUR2	Yenisey	Russia	Arctic	55.955	N	110.7073	E	KY328457	"Bolotov et al., 2020"
biv164/1	EUR2	Onega	Russia	Arctic	63.8296	N	38.4573	E	KY328459	"Bolotov et al., 2020"
biv168/1	EUR2	N_Dvina	Russia	Arctic	63.508	N	41.6216	E	KY328460	"Bolotov et al., 2020"
biv168/2	EUR2	N_Dvina	Russia	Arctic	63.508	N	41.6216	E	KY328461	"Bolotov et al., 2020"
biv168/3	EUR2	N_Dvina	Russia	Arctic	63.508	N	41.6216	E	KY328462	"Bolotov et al., 2020"
biv170/1	EUR2	Kamchia	Bulgaria	Black	43.0584	N	26.9534	E	KY328463	"Bolotov et al., 2020"
biv170/2	EUR2	Kamchia	Bulgaria	Black	43.0584	N	26.9534	E	KY328464	"Bolotov et al., 2020"
biv170/3	EUR2	Kamchia	Bulgaria	Black	43.0584	N	26.9534	E	KY328465	"Bolotov et al., 2020"
biv173/1	EUR2	Taz	Russia	Artic	63.5768	N	83.8644	E	KY328466	"Bolotov et al., 2020"
biv173/2	EUR2	Taz	Russia	Artic	63.5768	N	83.8644	E	KY328467	"Bolotov et al., 2020"
biv173/3	EUR2	Taz	Russia	Artic	63.5768	N	83.8644	E	KY328468	"Bolotov et al., 2020"
biv174/1	EUR2	Volga	Russia	Caspian	45.7669	N	47.8862	E	KY328469	"Bolotov et al., 2020"
biv174/2	EUR2	Volga	Russia	Caspian	45.7669	N	47.8862	E	KY328470	"Bolotov et al., 2020"
biv189/1	EUR2	Keret 	Russia	Arctic	66.1592	N	32.6471	E	KY328471	"Bolotov et al., 2020"
biv189/3	EUR2	Keret 	Russia	Arctic	66.1592	N	32.6471	E	KY328472	"Bolotov et al., 2020"
biv189/8	EUR2	Keret 	Russia	Arctic	66.1592	N	32.6471	E	KY328473	"Bolotov et al., 2020"
biv190/2	EUR2	Yenisei	Russia	Arctic	51.259	N	106.4982	E	KY328474	"Bolotov et al., 2020"
biv190/3	EUR2	Yenisei	Russia	Arctic	51.259	N	106.4982	E	KY328475	"Bolotov et al., 2020"
biv190/4	EUR2	Yenisei	Russia	Arctic	51.259	N	106.4982	E	KY328476	"Bolotov et al., 2020"
biv190/5	EUR2	Yenisei	Russia	Arctic	51.259	N	106.4982	E	KY328477	"Tomilova et al., 2020a"
biv190/7	EUR2	Yenisei	Russia	Arctic	51.259	N	106.4982	E	KY328478	"Tomilova et al., 2020a"
biv192/1	AZOV	Kuban	Russia	Azov	45.2481	N	37.4975	E	KY328479	"Bolotov et al., 2020"
biv194/4	EUR2	Volga	Russia	Caspian	55.865	N	38.001	E	KY328480	"Bolotov et al., 2020"
biv194/5	EUR2	Volga	Russia	Caspian	55.865	N	38.001	E	KY328481	"Bolotov et al., 2020"
biv194/7	EUR2	Volga	Russia	Caspian	55.865	N	38.001	E	KY328482	"Bolotov et al., 2020"
biv198/1	EUR2	Ob	Russia	Artic	54.3206	N	84.3938	E	KY328483	"Bolotov et al., 2020"
biv198/2	EUR2	Ob	Russia	Artic	54.3206	N	84.3938	E	KY328484	"Bolotov et al., 2020"
biv198/3	EUR2	Ob	Russia	Artic	54.3206	N	84.3938	E	KY328485	"Bolotov et al., 2020"
biv198/4	EUR2	Ob	Russia	Artic	54.3206	N	84.3938	E	KY328486	"Tomilova et al., 2020a"
biv198/6	EUR2	Ob	Russia	Artic	54.3206	N	84.3938	E	KY328487	"Tomilova et al., 2020a"
biv199/1	EUR2	Lena	Russia	Artic	62.5689	N	130.8861	E	KY328488	"Bolotov et al., 2020"
biv199/2	EUR2	Lena	Russia	Artic	62.5689	N	130.8861	E	KY328489	"Bolotov et al., 2020"
biv199/3	EUR2	Lena	Russia	Artic	62.5689	N	130.8861	E	KY328490	"Bolotov et al., 2020"
biv199/5	EUR2	Lena	Russia	Artic	62.5689	N	130.8861	E	KY328491	"Tomilova et al., 2020a"
biv199/6	EUR2	Lena	Russia	Artic	62.5689	N	130.8861	E	KY328492	"Tomilova et al., 2020a"
biv206/1	EUR2	Pechora	Russia	Artic	67.0291	N	51.1275	E	KY328493	"Bolotov et al., 2020"
biv206/2	EUR2	Pechora	Russia	Artic	67.0291	N	51.1275	E	KY328494	"Tomilova et al., 2020a"
biv208/1	AZOV	Don 	Russia	Azov	49.2421	N	43.9255	E	KY328495	"Bolotov et al., 2020"
biv208/3	AZOV	Don 	Russia	Azov	49.2421	N	43.9255	E	KY328496	"Bolotov et al., 2020"
biv209	EUR2	Volga	Russia	Caspian	54.8451	N	37.9849	E	KY328497	"Bolotov et al., 2020"
biv210/1	EUR2	Pechora 	Russia	Artic	68.1305	N	53.5269	E	KY328498	"Bolotov et al., 2020"
biv210/3	EUR2	Pechora 	Russia	Artic	68.1305	N	53.5269	E	KY328499	"Bolotov et al., 2020"
biv210/4	EUR2	Pechora 	Russia	Artic	68.1305	N	53.5269	E	KY328500	"Tomilova et al., 2020a"
biv210/5	EUR2	Pechora 	Russia	Artic	68.1305	N	53.5269	E	KY328501	"Tomilova et al., 2020a"
669/2	EUR2	Dvina	Russia	Arctic	64.1414	N	41.7653	E	KY328502	"Bolotov et al., 2020"
669/12	EUR2	Dvina	Russia	Arctic	64.1414	N	41.7653	E	KY328503	"Bolotov et al., 2020"
669/23	EUR2	Dvina	Russia	Arctic	64.1414	N	41.7653	E	KY328504	"Bolotov et al., 2020"
670/1	EUR2	Kuloi	Russia	Arctic	65.0007	N	41.2693	E	KY328505	"Bolotov et al., 2020"
670/4	EUR2	Kuloi	Russia	Arctic	65.0007	N	41.2693	E	KY328506	"Bolotov et al., 2020"
670/7	EUR2	Kuloi	Russia	Arctic	65.0007	N	41.2693	E	KY328507	"Bolotov et al., 2020"
670/8	EUR2	Kuloi	Russia	Arctic	65.0007	N	41.2693	E	KY328508	"Tomilova et al., 2020a"
1HH	EUR2	Dvina	Russia	Arctic	64.4561	N	40.5813	E	KY328509	"Bolotov et al., 2020"
2HH	EUR2	Dvina	Russia	Arctic	64.4561	N	40.5813	E	KY328510	"Bolotov et al., 2020"
4HH	EUR2	Dvina	Russia	Arctic	64.4561	N	40.5813	E	KY328511	"Bolotov et al., 2020"
BIV1859	EUR1	Vidourle	France	Mediterranean	43.7365	N	4.1428	E	MF414213	"Froufe et al., 2017"
BIV1862	EUR1	Vidourle	France	Mediterranean	43.7365	N	4.1428	E	MF414214	"Froufe et al., 2017"
BIV163	EUR1	Danube 	Croatia	Black	45.7697	N	18.0661	E	MF414222	"Froufe et al., 2017"
AA260	ITAL	Ebro	Spain	WesterMed	41.8534	N	1.2316	W	MF414223	"Froufe et al., 2014"
AA261	ITAL	Ebro	Spain	WesterMed	41.8534	N	1.2316	W	MF414224	"Froufe et al., 2014"
AA264	ITAL	Ebro	Spain	WesterMed	41.8534	N	1.2316	W	MF414225	"Froufe et al., 2014"
BIV1075	ITAL	Ter	Spain	WesterMed	42.0096	N	3.1249	E	MF414226	"Froufe et al., 2017"
BIV1076	ITAL	Ter	Spain	WesterMed	42.0096	N	3.1249	E	MF414227	"Froufe et al., 2017"
BIV849	ITAL	Jucar	Spain	WesterMed	39.3176	N	0.3962	W	MF414228	"Froufe et al., 2017"
BIV965	ITAL	Jucar	Spain	WesterMed	39.3114	N	0.3205	W	MF414229	"Froufe et al., 2017"
IT104	ITAL	Tiber	Italy	WesterMed	43.0895	N	12.1532	E	MF414230	"Froufe et al., 2017"
IT21	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414231	"Froufe et al., 2017"
IT82	ITAL	Tiber	Italy	WesterMed	43.0895	N	12.1532	E	MF414232	"Froufe et al., 2017"
IT22	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414233	"Froufe et al., 2017"
IT23	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414234	"Froufe et al., 2017"
IT85	ITAL	Tiber	Italy	WesterMed	43.0895	N	12.1532	E	MF414235	"Froufe et al., 2017"
IT97	ITAL	Tiber	Italy	WesterMed	43.0895	N	12.1532	E	MF414236	"Froufe et al., 2017"
IT24	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414238	"Froufe et al., 2017"
IT25	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414239	"Froufe et al., 2017"
IT26	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414240	"Froufe et al., 2017"
IT27	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414241	"Froufe et al., 2017"
IT28	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414242	"Froufe et al., 2017"
IT29	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414243	"Froufe et al., 2017"
IT32	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414244	"Froufe et al., 2017"
IT33	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414245	"Froufe et al., 2017"
IT35	ITAL	Reno	Italy	Adriatic	44.1845	N	11.2759	E	MF414246	"Froufe et al., 2017"
IT361	ITAL	Po	Italy	Adriatic	45.9803	N	8.6443	E	MF414247	"Froufe et al., 2017"
IT489	ITAL	Po	Italy	Adriatic	45.9803	N	8.6443	E	MF414248	"Froufe et al., 2017"
IT493	ITAL	Po	Italy	Adriatic	45.9803	N	8.6443	E	MF414249	"Froufe et al., 2017"
IT557	ITAL	Brenta	Italy	Adriatic	46.014	N	11.2862	E	MF414250	"Froufe et al., 2017"
IT558	ITAL	Brenta	Italy	Adriatic	46.014	N	11.2862	E	MF414251	"Froufe et al., 2017"
IT581	ITAL	Po	Italy	Adriatic	45.9803	N	8.6443	E	MF414252	"Froufe et al., 2017"
BIV0199	EUR2	Dnieper	Ukraine	Black	NA	NA	NA	NA	MH062759	"Klishko et al., 2018"
BIV0201	EUR2	Dniester	Ukraine	Black	NA	NA	NA	NA	MH062760	"Klishko et al., 2018"
BIV0202	EUR2	Dniester	Ukraine	Black	NA	NA	NA	NA	MH062761	"Klishko et al., 2018"
BIV0205	EUR1	Bug	Ukraine	Black	NA	NA	NA	NA	MH062763	"Klishko et al., 2018"
BIV0206	EUR2	Dnieper	Ukraine	Black	NA	NA	NA	NA	MH062764	"Klishko et al., 2018"
BIV0256	EUR2	Lena	Russia	Arctic	52.2921	N	113.0898	E	MH062765	"Klishko et al., 2018"
BIV3374	EUR2	Yenisei	Russia	Artic	52.2897	N	106.4839	E	MH062766	"Klishko et al., 2018"
BIV3375	EUR2	Yenisei	Russia	Artic	52.2897	N	106.4839	E	MH062767	"Klishko et al., 2018"
BIV3377	EUR2	Yenisei	Russia	Artic	51.4176	N	106.5433	E	MH062768	"Klishko et al., 2018"
BIV3378	EUR2	Yenisei	Russia	Artic	51.4176	N	106.5433	E	MH062769	"Klishko et al., 2018"
BIV3379	EUR2	Yenisei	Russia	Artic	51.4176	N	106.5433	E	MH062770	"Klishko et al., 2018"
BIV3381	EUR2	Yenisei	Russia	Artic	51.4176	N	106.5433	E	MH062771	"Klishko et al., 2018"
BIV3382	EUR2	Yenisei	Russia	Artic	51.56	N	107.009	E	MH062772	"Klishko et al., 2018"
BIV3383	EUR2	Yenisei	Russia	Artic	51.56	N	107.009	E	MH062773	"Klishko et al., 2018"
BIV3384	EUR2	Yenisei	Russia	Artic	51.56	N	107.009	E	MH062774	"Klishko et al., 2018"
BIV3385	EUR2	Yenisei	Russia	Artic	51.56	N	107.009	E	MH062775	"Klishko et al., 2018"
BIV3387	EUR2	Yenisei	Russia	Artic	51.8473	N	107.5583	E	MH062776	"Klishko et al., 2018"
BIV3388	EUR2	Yenisei	Russia	Artic	51.8473	N	107.5583	E	MH062777	"Klishko et al., 2018"
BIV3392	EUR2	Lena	Russia	Artic	52.5972	N	111.5001	E	MH062778	"Klishko et al., 2018"
BIV3393	EUR2	Lena	Russia	Artic	52.5972	N	111.5001	E	MH062779	"Klishko et al., 2018"
BIV3394	EUR2	Lena	Russia	Artic	52.5972	N	111.5001	E	MH062780	"Klishko et al., 2018"
BIV3395	EUR2	Lena	Russia	Artic	52.5972	N	111.5001	E	MH062781	"Klishko et al., 2018"
BIV3397	EUR2	Lena	Russia	Artic	52.5972	N	111.5001	E	MH062782	"Klishko et al., 2018"
BIV3399	EUR2	Lena	Russia	Artic	52.5972	N	111.5001	E	MH062783	"Klishko et al., 2018"
BIV3401	EUR2	Yenisei	Russia	Artic	52.1555	N	106.2637	E	MH062784	"Klishko et al., 2018"
BIV3402	EUR2	Yenisei	Russia	Artic	52.1555	N	106.2637	E	MH062785	"Klishko et al., 2018"
BIV3405	EUR2	Yenisei	Russia	Artic	52.1555	N	106.2637	E	MH062786	"Klishko et al., 2018"
BIV3406	EUR2	Yenisei	Russia	Artic	52.1555	N	106.2637	E	MH062787	"Klishko et al., 2018"
BIV3408	EUR2	Yenisei	Russia	Artic	52.1555	N	106.2637	E	MH062788	"Klishko et al., 2018"
biv277/2	EUR2	Dnieper	Russia	Black	51.7699	N	36.2186	E	MK574149	"Bolotov et al., 2020"
biv277/3	EUR2	Dnieper	Russia	Black	51.7699	N	36.2186	E	MK574150	"Bolotov et al., 2020"
biv277/4	EUR2	Dnieper	Russia	Black	51.7699	N	36.2186	E	MK574151	"Bolotov et al., 2020"
biv282/2	AZOV	Don 	Russia	Azov	51.563	N	43.153	E	MK574152	"Bolotov et al., 2020"
biv282/3	AZOV	Don 	Russia	Azov	51.563	N	43.153	E	MK574153	"Bolotov et al., 2020"
biv282/4	AZOV	Don 	Russia	Azov	51.563	N	43.153	E	MK574154	"Bolotov et al., 2020"
biv306/2	EUR2	Volga	Russia	Caspian	48.4244	N	44.9181	E	MK574155	"Bolotov et al., 2020"
biv307/2	AZOV	Kagalnik	Russia	Azov	46.8762	N	39.6995	E	MK574156	"Bolotov et al., 2020"
biv307/3	AZOV	Kagalnik	Russia	Azov	46.8762	N	39.6995	E	MK574157	"Bolotov et al., 2020"
biv552/1	EUR2	Lopshenga	Russia	Artic	64.9542	N	37.5186	E	MK574159	"Bolotov et al., 2020"
biv553/1	EUR2	Solenoye	Russia	Artic	64.8767	N	38.9809	E	MK574160	"Bolotov et al., 2020"
biv553/2	EUR2	Solenoye	Russia	Artic	64.8767	N	38.9809	E	MK574161	"Bolotov et al., 2020"
biv554/1	AZOV	Kuban	Russia	Azov	44.9497	N	39.3544	E	MK574162	"Bolotov et al., 2020"
biv554/2	AZOV	Kuban	Russia	Azov	44.9497	N	39.3544	E	MK574163	"Bolotov et al., 2020"
biv554/3	AZOV	Kuban	Russia	Azov	44.9497	N	39.3544	E	MK574164	"Bolotov et al., 2020"
biv557/1	AZOV	Kirpili	Russia	Azov	45.3539	N	39.8053	E	MK574165	"Bolotov et al., 2020"
biv557/2	AZOV	Kirpili	Russia	Azov	45.3539	N	39.8053	E	MK574166	"Bolotov et al., 2020"
biv557/3	AZOV	Kirpili	Russia	Azov	45.3539	N	39.8053	E	MK574167	"Bolotov et al., 2020"
biv558	AZOV	Kirpili	Russia	Azov	45.3539	N	39.8053	E	MK574168	"Bolotov et al., 2020"
biv560/1	AZOV	Don	Russia	Azov	48.3406	N	40.1096	E	MK574169	"Bolotov et al., 2020"
biv560/2	AZOV	Don	Russia	Azov	48.3406	N	40.1096	E	MK574170	"Bolotov et al., 2020"
biv560/3	AZOV	Don	Russia	Azov	48.3406	N	40.1096	E	MK574171	"Bolotov et al., 2020"
biv563	AZOV	Don	Russia	Azov	47.8438	N	39.903	E	MK574172	"Bolotov et al., 2020"
biv565/1	AZOV	Don	Russia	Azov	47.3582	N	40.0632	E	MK574173	"Bolotov et al., 2020"
biv565/2	AZOV	Don	Russia	Azov	47.3582	N	40.0632	E	MK574174	"Bolotov et al., 2020"
biv565/3	AZOV	Don	Russia	Azov	47.3582	N	40.0632	E	MK574175	"Bolotov et al., 2020"
biv569/2	AZOV	Kuban	Russia	Azov	45.2655	N	37.3708	E	MK574177	"Bolotov et al., 2020"
biv569/3	AZOV	Kuban	Russia	Azov	45.2655	N	37.3708	E	MK574178	"Bolotov et al., 2020"
biv571/1	EUR2	Volga	Russia	Caspian	54.6603	N	39.8371	E	MK574179	"Bolotov et al., 2020"
biv572/3	EUR2	Volga	Russia	Caspian	54.6603	N	39.8371	E	MK574180	"Bolotov et al., 2020"
biv573/4	EUR2	Volga	Russia	Caspian	54.6603	N	39.8371	E	MK574181	"Bolotov et al., 2020"
biv593/1	EUR2	Ural	Kazakhstan	Caspian	50.7131	N	51.3808	E	MK603925	"Bolotov et al., 2020"
biv593/2	EUR2	Ural	Kazakhstan	Caspian	50.7131	N	51.3808	E	MK603926	"Bolotov et al., 2020"
biv593/3	EUR2	Ural	Kazakhstan	Caspian	50.7131	N	51.3808	E	MK603927	"Bolotov et al., 2020"
